Fecha,año,mes,Open,High,Low,AdjClose,ROC,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2001-04-01,2001,4,9308.299805,9904.0,8784.799805,9760.990234,1.0486340877973592,17853.833333333332,15936.3,1917.4666666666667,52.623333333333335,10.743333333333332,0.982023156611822
2001-05-01,2001,5,9761.0,9854.599609,9370.599609,9500.69043,0.9733326437420963,17892.966666666667,16006.3,1886.6333333333332,52.67666666666666,10.546666666666667,0.9816940738442446
2001-06-01,2001,6,9498.900391,9663.900391,8634.099609,8878.391602,0.9344996205712595,17932.1,16076.3,1855.8,52.73,10.35,0.9813527180783818
2001-07-01,2001,7,8878.400391,9104.900391,8074.5,8479.991211,0.9551269634344296,18009.399999999998,16148.966666666665,1860.4333333333334,52.89333333333333,10.33,0.9980676328502416
2001-08-01,2001,8,8480.0,8684.900391,8083.799805,8321.09082,0.9812617269232689,18086.7,16221.633333333333,1865.0666666666666,53.056666666666665,10.309999999999999,0.9980638915779282
2001-09-01,2001,9,8321.099609,8374.400391,6260.100098,7313.992676,0.8789704179673884,18164.0,16294.3,1869.7,53.22,10.29,0.9980601357904947
2001-10-01,2001,10,7314.0,8176.600098,6925.899902,7774.291992,1.062934068489079,18206.666666666668,16312.266666666666,1894.4,53.28333333333333,10.403333333333332,1.0110139293812763
2001-11-01,2001,11,7765.0,8742.700195,7602.700195,8364.691406,1.0759425314366298,18249.333333333332,16330.233333333334,1919.1,53.346666666666664,10.516666666666667,1.0108939442486384
2001-12-01,2001,12,8302.900391,8876.0,8099.5,8397.59082,1.0039331294369571,18292.0,16348.2,1943.8,53.41,10.63,1.0107765451664026
2002-01-01,2002,1,8397.599609,8608.5,7737.700195,8050.391602,0.9586549016923884,18406.366666666665,16392.9,2013.4666666666667,53.626666666666665,10.936666666666667,1.028849169018501
2002-02-01,2002,2,8067.0,8204.5,7628.0,8135.491699,1.0105709263856006,18520.733333333334,16437.6,2083.133333333333,53.843333333333334,11.243333333333334,1.0280402316366961
2002-03-01,2002,3,8118.399902,8481.099609,8066.0,8249.691406,1.0140372224845404,18635.1,16482.3,2152.8,54.06,11.55,1.0272754224725764
2002-04-01,2002,4,8235.799805,8470.799805,7933.100098,8154.391602,0.9884480765025115,18713.466666666667,16577.166666666668,2136.3,54.2,11.416666666666668,0.9884559884559885
2002-05-01,2002,5,8202.200195,8229.700195,7788.100098,7949.89209,0.974921548782395,18791.833333333332,16672.033333333333,2119.8,54.339999999999996,11.283333333333333,0.9883211678832116
2002-06-01,2002,6,7917.5,8016.799805,6433.600098,6912.993164,0.8695706917450751,18870.2,16766.9,2103.3,54.48,11.15,0.9881831610044314
2002-07-01,2002,7,6851.399902,7165.100098,5824.200195,6249.293457,0.9039924253858262,18951.9,16817.7,2134.2000000000003,54.626666666666665,11.263333333333334,1.0101644245142003
2002-08-01,2002,8,6250.399902,6727.200195,5815.600098,6435.693848,1.0298274344584037,19033.6,16868.5,2165.1,54.77333333333333,11.376666666666667,1.0100621485646641
2002-09-01,2002,9,6433.0,6514.5,5293.5,5431.694824,0.843995216722124,19115.3,16919.3,2196.0,54.92,11.49,1.0099619103428068
2002-10-01,2002,10,5477.200195,6262.0,5266.899902,6139.393555,1.130290591414124,19151.63333333333,16943.5,2208.133333333333,54.93,11.53,1.0034812880765882
2002-11-01,2002,11,6271.700195,6766.799805,5978.600098,6685.593262,1.088966394173439,19187.966666666667,16967.7,2220.266666666667,54.940000000000005,11.57,1.0034692107545533
2002-12-01,2002,12,6659.600098,6848.799805,5981.100098,6036.893555,0.9029705096349308,19224.3,16991.9,2232.4,54.95,11.61,1.0034572169403628
2003-01-01,2003,1,6050.600098,6645.5,5789.799805,5947.694336,0.9852243180723103,19289.933333333334,17025.5,2264.4333333333334,55.06,11.736666666666666,1.0109101349411427
2003-02-01,2003,2,5989.399902,6186.899902,5741.899902,5999.394043,1.008692394746494,19355.566666666666,17059.100000000002,2296.4666666666667,55.17,11.863333333333333,1.0107923885259869
2003-03-01,2003,3,6025.700195,6258.5,5447.700195,5870.494141,0.9785145131198042,19421.2,17092.7,2328.5,55.28,11.99,1.0106771565046362
2003-04-01,2003,4,5900.799805,6674.700195,5893.299805,6489.493652,1.105442488508226,19493.86666666667,17202.86666666667,2291.0,55.403333333333336,11.753333333333334,0.9802613288851821
2003-05-01,2003,5,6471.899902,6578.100098,6177.799805,6508.493164,1.002927734122083,19566.533333333333,17313.033333333333,2253.5,55.526666666666664,11.516666666666666,0.9798638684061258
2003-06-01,2003,6,6551.5,7081.600098,6491.700195,6861.993164,1.0543136469675178,19639.2,17423.2,2216.0,55.65,11.28,0.9794500723589001
2003-07-01,2003,7,6877.5,7067.899902,6735.299805,7061.692871,1.0291022888288024,19723.966666666667,17497.466666666667,2226.5,55.81666666666666,11.286666666666667,1.0005910165484635
2003-08-01,2003,8,7027.799805,7258.899902,6876.799805,7111.29248,1.0070237561879374,19808.733333333334,17571.733333333334,2237.0,55.983333333333334,11.293333333333333,1.0005906674542233
2003-09-01,2003,9,7156.399902,7315.399902,6664.700195,6703.593262,0.9426687597020338,19893.5,17646.0,2247.5,56.15,11.3,1.000590318772137
2003-10-01,2003,10,6722.299805,7152.799805,6701.700195,7129.492676,1.0635330034735635,19934.7,17677.5,2257.233333333333,56.18333333333333,11.323333333333334,1.0020648967551622
2003-11-01,2003,11,7138.200195,7318.899902,7028.200195,7252.492676,1.0172522794523728,19975.899999999998,17709.0,2266.9666666666667,56.21666666666667,11.346666666666666,1.002060641742714
2003-12-01,2003,12,7284.600098,7818.0,7280.899902,7737.192383,1.0668321539439767,20017.1,17740.5,2276.7,56.25,11.37,1.0020564042303173
2004-01-01,2004,1,7746.100098,8134.799805,7743.600098,7929.89209,1.024905637272688,20038.066666666666,17750.4,2287.733333333333,56.24666666666667,11.413333333333332,1.0038111990618586
2004-02-01,2004,2,7937.200195,8350.900391,7869.600098,8249.391602,1.0402905245587015,20059.033333333333,17760.3,2298.766666666667,56.24333333333333,11.456666666666667,1.0037967289719627
2004-03-01,2004,3,8277.099609,8376.0,7659.299805,8018.091797,0.9719615923016771,20080.0,17770.2,2309.8,56.24,11.5,1.0037823683444864
2004-04-01,2004,4,8039.899902,8478.0,8016.0,8109.491699,1.011399208728715,20142.166666666668,17853.100000000002,2289.0666666666666,56.343333333333334,11.363333333333333,0.9881159420289855
2004-05-01,2004,5,8084.100098,8266.0,7605.700195,7959.291504,0.9814784698505186,20204.333333333332,17936.0,2268.3333333333335,56.446666666666665,11.226666666666667,0.9879730126136697
2004-06-01,2004,6,7932.399902,8203.900391,7836.100098,8078.291504,1.0149510794949776,20266.5,18018.9,2247.6,56.55,11.09,0.9878266033254157
2004-07-01,2004,7,8095.799805,8141.5,7715.100098,7919.291992,0.9803176807965807,20340.633333333335,18108.966666666667,2231.6666666666665,56.67666666666666,10.973333333333333,0.9894800120228434
2004-08-01,2004,8,7880.0,7930.5,7538.700195,7869.492188,0.9937115838069475,20414.766666666666,18199.033333333333,2215.7333333333336,56.803333333333335,10.856666666666667,0.9893681652490888
2004-09-01,2004,9,7894.799805,8131.200195,7893.799805,8029.191895,1.0202935212571302,20488.9,18289.1,2199.8,56.93,10.74,0.9892539146453792
2004-10-01,2004,10,8037.700195,8490.099609,8037.700195,8418.291016,1.0484605581842306,20548.5,18356.333333333332,2192.166666666667,56.99333333333333,10.67,0.9934823091247672
2004-11-01,2004,11,8468.099609,8784.099609,8440.599609,8692.991211,1.032631349341321,20608.100000000002,18423.566666666666,2184.5333333333333,57.056666666666665,10.6,0.993439550140581
2004-12-01,2004,12,8676.5,9118.799805,8673.299805,9080.791016,1.0446106289063406,20667.7,18490.8,2176.9,57.12,10.53,0.9933962264150943
2005-01-01,2005,1,9085.200195,9224.599609,8907.0,9223.890625,1.01575849601074,20730.933333333334,18572.566666666666,2158.366666666667,57.20666666666666,10.41,0.9886039886039887
2005-02-01,2005,2,9218.900391,9647.700195,9193.599609,9390.990234,1.018115957332267,20794.166666666668,18654.333333333332,2139.8333333333335,57.29333333333334,10.29,0.9884726224783861
