año,mes,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2022,9,23525.9,20545.7,2980.2,58.86,12.67,
2022,6,23387.4,20468.0,2919.4,58.71,12.48,0.9850039463299132
2022,3,23259.4,20084.7,3174.7,58.5,13.65,1.09375
2021,12,23288.8,20184.9,3103.8,58.65,13.33,0.9765567765567765
2021,9,23447.7,20031.0,3416.7,59.14,14.57,1.0930232558139534
2021,6,23215.5,19671.7,3543.8,58.58,15.26,1.0473575840768703
2021,3,22860.7,19206.8,3653.9,57.69,15.98,1.0471821756225426
2020,12,23064.1,19344.3,3719.8,58.19,16.13,1.0093867334167708
2020,9,22899.8,19176.9,3722.9,57.83,16.26,1.0080595164290145
2020,6,21975.2,18607.2,3368.0,55.54,15.33,0.9428044280442803
2020,3,22994.2,19681.3,3313.0,58.18,14.41,0.9399869536855838
2019,12,23158.8,19966.9,3191.9,58.74,13.78,0.9562803608605135
2019,9,23088.7,19874.3,3214.4,58.72,13.92,1.0101596516690856
2019,6,23035.5,19804.9,3230.6,58.74,14.02,1.007183908045977
2019,3,22825.4,19471.1,3354.2,58.35,14.7,1.0485021398002854
2018,12,22868.8,19564.6,3304.3,58.61,14.45,0.9829931972789115
2018,9,22854.0,19528.0,3326.0,58.73,14.55,1.0069204152249136
2018,6,22834.2,19344.1,3490.1,58.8,15.28,1.0501718213058417
2018,3,22670.3,18874.2,3796.1,58.46,16.74,1.0955497382198953
2017,12,22765.0,18998.4,3766.7,58.8,16.55,0.9886499402628436
2017,9,22780.9,19049.3,3731.7,58.92,16.38,0.9897280966767371
2017,6,22727.6,18813.3,3914.3,58.84,17.22,1.0512820512820513
2017,3,22693.3,18438.3,4255.0,58.78,18.75,1.088850174216028
2016,12,22745.9,18508.1,4237.8,58.95,18.63,0.9935999999999999
2016,9,22848.3,18527.5,4320.8,59.28,18.91,1.0150295222758992
2016,6,22875.7,18301.0,4574.7,59.41,20.0,1.0576414595452142
2016,3,22821.0,18029.6,4791.4,59.29,21.0,1.05
2015,12,22873.7,18094.2,4779.5,59.43,20.9,0.9952380952380951
2015,9,22899.5,18048.7,4850.8,59.5,21.18,1.0133971291866029
2015,6,23015.5,17866.5,5149.0,59.79,22.37,1.0561850802644004
2015,3,22899.4,17454.8,5444.6,59.45,23.78,1.0630308448815378
2014,12,23026.8,17569.1,5457.7,59.77,23.7,0.9966358284272497
2014,9,22931.7,17504.0,5427.7,59.53,23.67,0.99873417721519
2014,6,22975.9,17353.0,5622.9,59.63,24.47,1.0337980566117446
2014,3,22883.9,16950.6,5933.3,59.46,25.93,1.0596648957907642
2013,12,23070.9,17135.2,5935.6,59.86,25.73,0.9922869263401466
2013,9,23173.4,17230.0,5943.4,60.04,25.65,0.9968907889623008
2013,6,23207.9,17160.6,6047.3,60.0,26.06,1.0159844054580898
2013,3,23308.4,17030.2,6278.2,60.18,26.94,1.0337682271680737
2012,12,23360.4,17339.4,6021.0,60.23,25.77,0.9565701559020043
2012,9,23491.9,17667.7,5824.2,60.55,24.79,0.9619712844392705
2012,6,23489.5,17758.5,5731.0,60.5,24.4,0.9842678499394917
2012,3,23433.0,17765.1,5667.9,60.31,24.19,0.9913934426229509
2011,12,23440.3,18153.0,5287.3,60.29,22.56,0.9326167837949565
2011,9,23482.5,18484.5,4998.0,60.44,21.28,0.9432624113475179
2011,6,23466.2,18622.0,4844.2,60.44,20.64,0.9699248120300752
2011,3,23347.3,18426.2,4921.2,60.16,21.08,1.0213178294573642
2010,12,23377.1,18674.9,4702.2,60.25,20.11,0.9539848197343453
2010,9,23404.4,18819.0,4585.4,60.37,19.59,0.9741422178020885
2010,6,23406.4,18751.1,4655.3,60.41,19.89,1.0153139356814702
2010,3,23270.5,18652.9,4617.7,60.09,19.84,0.9974861739567622
2009,12,23225.4,18890.4,4335.0,59.99,18.66,0.9405241935483871
2009,9,23219.8,19098.4,4121.4,60.05,17.75,0.9512325830653805
2009,6,23293.4,19154.2,4139.6,60.3,17.77,1.0011267605633802
2009,3,23302.6,19284.4,4018.2,60.39,17.24,0.9701744513224535
2008,12,23262.1,20055.3,3206.8,60.35,13.79,0.7998839907192575
2008,9,23157.1,20556.4,2600.7,60.23,11.23,0.8143582306018855
2008,6,23032.6,20646.9,2385.7,60.07,10.36,0.9225289403383793
2008,3,22810.4,20620.0,2190.5,59.67,9.6,0.9266409266409267
2007,12,22659.9,20717.9,1942.0,59.47,8.57,0.8927083333333334
2007,9,22559.6,20753.4,1806.2,59.5,8.01,0.9346557759626604
2007,6,22354.1,20580.9,1773.2,59.23,7.93,0.9900124843945068
2007,3,22130.8,20267.5,1863.2,58.9,8.42,1.0617906683480454
2006,12,22014.8,20195.4,1819.4,58.88,8.26,0.9809976247030878
2006,9,21857.8,20091.0,1766.9,58.74,8.08,0.9782082324455206
2006,6,21726.0,19891.6,1834.4,58.63,8.44,1.0445544554455446
2006,3,21521.3,19578.4,1942.8,58.3,9.03,1.069905213270142
2005,12,21369.5,19509.2,1860.3,58.08,8.71,0.9645625692137322
2005,9,21205.6,19422.1,1783.5,57.86,8.41,0.9655568312284729
2005,6,21129.7,19160.6,1969.1,57.86,9.32,1.1082045184304399
2005,3,20857.4,18736.1,2121.3,57.38,10.17,1.0912017167381973
2004,12,20667.7,18490.8,2176.9,57.12,10.53,1.0353982300884956
2004,9,20488.9,18289.1,2199.8,56.93,10.74,1.01994301994302
2004,6,20266.5,18018.9,2247.6,56.55,11.09,1.0325884543761639
2004,3,20080.0,17770.2,2309.8,56.24,11.5,1.036970243462579
2003,12,20017.1,17740.5,2276.7,56.25,11.37,0.988695652173913
2003,9,19893.5,17646.0,2247.5,56.15,11.3,0.9938434476693053
2003,6,19639.2,17423.2,2216.0,55.65,11.28,0.9982300884955752
2003,3,19421.2,17092.7,2328.5,55.28,11.99,1.0629432624113475
2002,12,19224.3,16991.9,2232.4,54.95,11.61,0.9683069224353628
2002,9,19115.3,16919.3,2196.0,54.92,11.49,0.9896640826873385
2002,6,18870.2,16766.9,2103.3,54.48,11.15,0.9704090513489991
2002,3,18635.1,16482.3,2152.8,54.06,11.55,1.0358744394618835
2001,12,18292.0,16348.2,1943.8,53.41,10.63,0.9203463203463204
2001,9,18164.0,16294.3,1869.7,53.22,10.29,0.9680150517403573
2001,6,17932.1,16076.3,1855.8,52.73,10.35,1.0058309037900874
2001,3,17814.7,15866.3,1948.3,52.57,10.94,1.0570048309178743
