Edad	Sexo	Unidad	Periodo	Total
Total	Ambos sexos	Valor absoluto	2022T3	23.525,9
Total	Ambos sexos	Valor absoluto	2022T2	23.387,4
Total	Ambos sexos	Valor absoluto	2022T1	23.259,4
Total	Ambos sexos	Valor absoluto	2021T4	23.288,8
Total	Ambos sexos	Valor absoluto	2021T3	23.447,7
Total	Ambos sexos	Valor absoluto	2021T2	23.215,5
Total	Ambos sexos	Valor absoluto	2021T1	22.860,7
Total	Ambos sexos	Valor absoluto	2020T4	23.064,1
Total	Ambos sexos	Valor absoluto	2020T3	22.899,8
Total	Ambos sexos	Valor absoluto	2020T2	21.975,2
Total	Ambos sexos	Valor absoluto	2020T1	22.994,2
Total	Ambos sexos	Valor absoluto	2019T4	23.158,8
Total	Ambos sexos	Valor absoluto	2019T3	23.088,7
Total	Ambos sexos	Valor absoluto	2019T2	23.035,5
Total	Ambos sexos	Valor absoluto	2019T1	22.825,4
Total	Ambos sexos	Valor absoluto	2018T4	22.868,8
Total	Ambos sexos	Valor absoluto	2018T3	22.854,0
Total	Ambos sexos	Valor absoluto	2018T2	22.834,2
Total	Ambos sexos	Valor absoluto	2018T1	22.670,3
Total	Ambos sexos	Valor absoluto	2017T4	22.765,0
Total	Ambos sexos	Valor absoluto	2017T3	22.780,9
Total	Ambos sexos	Valor absoluto	2017T2	22.727,6
Total	Ambos sexos	Valor absoluto	2017T1	22.693,3
Total	Ambos sexos	Valor absoluto	2016T4	22.745,9
Total	Ambos sexos	Valor absoluto	2016T3	22.848,3
Total	Ambos sexos	Valor absoluto	2016T2	22.875,7
Total	Ambos sexos	Valor absoluto	2016T1	22.821,0
Total	Ambos sexos	Valor absoluto	2015T4	22.873,7
Total	Ambos sexos	Valor absoluto	2015T3	22.899,5
Total	Ambos sexos	Valor absoluto	2015T2	23.015,5
Total	Ambos sexos	Valor absoluto	2015T1	22.899,4
Total	Ambos sexos	Valor absoluto	2014T4	23.026,8
Total	Ambos sexos	Valor absoluto	2014T3	22.931,7
Total	Ambos sexos	Valor absoluto	2014T2	22.975,9
Total	Ambos sexos	Valor absoluto	2014T1	22.883,9
Total	Ambos sexos	Valor absoluto	2013T4	23.070,9
Total	Ambos sexos	Valor absoluto	2013T3	23.173,4
Total	Ambos sexos	Valor absoluto	2013T2	23.207,9
Total	Ambos sexos	Valor absoluto	2013T1	23.308,4
Total	Ambos sexos	Valor absoluto	2012T4	23.360,4
Total	Ambos sexos	Valor absoluto	2012T3	23.491,9
Total	Ambos sexos	Valor absoluto	2012T2	23.489,5
Total	Ambos sexos	Valor absoluto	2012T1	23.433,0
Total	Ambos sexos	Valor absoluto	2011T4	23.440,3
Total	Ambos sexos	Valor absoluto	2011T3	23.482,5
Total	Ambos sexos	Valor absoluto	2011T2	23.466,2
Total	Ambos sexos	Valor absoluto	2011T1	23.347,3
Total	Ambos sexos	Valor absoluto	2010T4	23.377,1
Total	Ambos sexos	Valor absoluto	2010T3	23.404,4
Total	Ambos sexos	Valor absoluto	2010T2	23.406,4
Total	Ambos sexos	Valor absoluto	2010T1	23.270,5
Total	Ambos sexos	Valor absoluto	2009T4	23.225,4
Total	Ambos sexos	Valor absoluto	2009T3	23.219,8
Total	Ambos sexos	Valor absoluto	2009T2	23.293,8
Total	Ambos sexos	Valor absoluto	2009T1	23.302,6
Total	Ambos sexos	Valor absoluto	2008T4	23.262,1
Total	Ambos sexos	Valor absoluto	2008T3	23.157,1
Total	Ambos sexos	Valor absoluto	2008T2	23.032,6
Total	Ambos sexos	Valor absoluto	2008T1	22.810,4
Total	Ambos sexos	Valor absoluto	2007T4	22.659,9
Total	Ambos sexos	Valor absoluto	2007T3	22.559,6
Total	Ambos sexos	Valor absoluto	2007T2	22.354,1
Total	Ambos sexos	Valor absoluto	2007T1	22.130,8
Total	Ambos sexos	Valor absoluto	2006T4	22.014,8
Total	Ambos sexos	Valor absoluto	2006T3	21.857,8
Total	Ambos sexos	Valor absoluto	2006T2	21.726,0
Total	Ambos sexos	Valor absoluto	2006T1	21.521,3
Total	Ambos sexos	Valor absoluto	2005T4	21.369,5
Total	Ambos sexos	Valor absoluto	2005T3	21.205,6
Total	Ambos sexos	Valor absoluto	2005T2	21.129,7
Total	Ambos sexos	Valor absoluto	2005T1	20.857,4
Total	Ambos sexos	Valor absoluto	2004T4	20.667,7
Total	Ambos sexos	Valor absoluto	2004T3	20.488,9
Total	Ambos sexos	Valor absoluto	2004T2	20.266,5
Total	Ambos sexos	Valor absoluto	2004T1	20.080,0
Total	Ambos sexos	Valor absoluto	2003T4	20.017,1
Total	Ambos sexos	Valor absoluto	2003T3	19.893,5
Total	Ambos sexos	Valor absoluto	2003T2	19.639,2
Total	Ambos sexos	Valor absoluto	2003T1	19.421,2
Total	Ambos sexos	Valor absoluto	2002T4	19.224,3
Total	Ambos sexos	Valor absoluto	2002T3	19.115,3
Total	Ambos sexos	Valor absoluto	2002T2	18.870,2
Total	Ambos sexos	Valor absoluto	2002T1	18.635,1
Total	Ambos sexos	Porcentaje	2022T3	100,0
Total	Ambos sexos	Porcentaje	2022T2	100,0
Total	Ambos sexos	Porcentaje	2022T1	100,0
Total	Ambos sexos	Porcentaje	2021T4	100,0
Total	Ambos sexos	Porcentaje	2021T3	100,0
Total	Ambos sexos	Porcentaje	2021T2	100,0
Total	Ambos sexos	Porcentaje	2021T1	100,0
Total	Ambos sexos	Porcentaje	2020T4	100,0
Total	Ambos sexos	Porcentaje	2020T3	100,0
Total	Ambos sexos	Porcentaje	2020T2	100,0
Total	Ambos sexos	Porcentaje	2020T1	100,0
Total	Ambos sexos	Porcentaje	2019T4	100,0
Total	Ambos sexos	Porcentaje	2019T3	100,0
Total	Ambos sexos	Porcentaje	2019T2	100,0
Total	Ambos sexos	Porcentaje	2019T1	100,0
Total	Ambos sexos	Porcentaje	2018T4	100,0
Total	Ambos sexos	Porcentaje	2018T3	100,0
Total	Ambos sexos	Porcentaje	2018T2	100,0
Total	Ambos sexos	Porcentaje	2018T1	100,0
Total	Ambos sexos	Porcentaje	2017T4	100,0
Total	Ambos sexos	Porcentaje	2017T3	100,0
Total	Ambos sexos	Porcentaje	2017T2	100,0
Total	Ambos sexos	Porcentaje	2017T1	100,0
Total	Ambos sexos	Porcentaje	2016T4	100,0
Total	Ambos sexos	Porcentaje	2016T3	100,0
Total	Ambos sexos	Porcentaje	2016T2	100,0
Total	Ambos sexos	Porcentaje	2016T1	100,0
Total	Ambos sexos	Porcentaje	2015T4	100,0
Total	Ambos sexos	Porcentaje	2015T3	100,0
Total	Ambos sexos	Porcentaje	2015T2	100,0
Total	Ambos sexos	Porcentaje	2015T1	100,0
Total	Ambos sexos	Porcentaje	2014T4	100,0
Total	Ambos sexos	Porcentaje	2014T3	100,0
Total	Ambos sexos	Porcentaje	2014T2	100,0
Total	Ambos sexos	Porcentaje	2014T1	100,0
Total	Ambos sexos	Porcentaje	2013T4	100,0
Total	Ambos sexos	Porcentaje	2013T3	100,0
Total	Ambos sexos	Porcentaje	2013T2	100,0
Total	Ambos sexos	Porcentaje	2013T1	100,0
Total	Ambos sexos	Porcentaje	2012T4	100,0
Total	Ambos sexos	Porcentaje	2012T3	100,0
Total	Ambos sexos	Porcentaje	2012T2	100,0
Total	Ambos sexos	Porcentaje	2012T1	100,0
Total	Ambos sexos	Porcentaje	2011T4	100,0
Total	Ambos sexos	Porcentaje	2011T3	100,0
Total	Ambos sexos	Porcentaje	2011T2	100,0
Total	Ambos sexos	Porcentaje	2011T1	100,0
Total	Ambos sexos	Porcentaje	2010T4	100,0
Total	Ambos sexos	Porcentaje	2010T3	100,0
Total	Ambos sexos	Porcentaje	2010T2	100,0
Total	Ambos sexos	Porcentaje	2010T1	100,0
Total	Ambos sexos	Porcentaje	2009T4	100,0
Total	Ambos sexos	Porcentaje	2009T3	100,0
Total	Ambos sexos	Porcentaje	2009T2	100,0
Total	Ambos sexos	Porcentaje	2009T1	100,0
Total	Ambos sexos	Porcentaje	2008T4	100,0
Total	Ambos sexos	Porcentaje	2008T3	100,0
Total	Ambos sexos	Porcentaje	2008T2	100,0
Total	Ambos sexos	Porcentaje	2008T1	100,0
Total	Ambos sexos	Porcentaje	2007T4	100,0
Total	Ambos sexos	Porcentaje	2007T3	100,0
