year,quarter,Investor,Operation Type,Stock Abv,Stock,Activity,Share Change
2007,Q1,ARFFX,sell,ACN, - Accenture,Reduce 16.39%,"7,000"
2007,Q1,CAAPX,sell,ACN, - Accenture,Reduce 16.62%,"612,400"
2007,Q1,hcmax,buy,AET, - Aetna Inc.,Add 10.00%,"10,000"
2007,Q1,CAAPX,buy,AFL, - AFLAC Inc.,Add 10.61%,"289,800"
2007,Q1,SSHFX,buy,AIG, - American International Group,Buy ,"62,035"
2007,Q1,hcmax,buy,ALD, - Allied Capital Corp.,Add 26.93%,"35,010"
2007,Q1,BRK,sell,AMP, - Ameriprise Financial Inc.,Reduce 48.23%,"3,989,175"
2007,Q1,TWEBX,sell,ANAT-OLD, - American National Group Inc.,Reduce 0.94%,670
2007,Q1,SEQUX,sell,APOL, - Apollo Education Group Inc.,Sell 100.00%,"730,356"
2007,Q1,SSHFX,buy,APOL, - Apollo Education Group Inc.,Buy ,"1,232,400"
2007,Q1,WVALX,sell,APOL, - Apollo Education Group Inc.,Reduce 16.13%,"250,000"
2007,Q1,WVALX,sell,APOL, - Apollo Education Group Inc.,Reduce 11.43%,"200,000"
2007,Q1,FPPTX,buy,ATW, - Atwood Oceanics Inc.,Buy ,"386,200"
2007,Q1,CAAPX,buy,AXE, - Anixter International,Add 53.26%,"222,700"
2007,Q1,BRK,buy,BAC, - Bank of America Corp.,Buy ,"8,700,000"
2007,Q1,TWEBX,buy,BCLYF, - Barclays Plc Ord,Buy ,"424,535"
2007,Q1,ARFFX,buy,BDK, - Black & Decker Corp.,Add 6.44%,"1,300"
2007,Q1,CAAPX,sell,BEN, - Franklin Resources,Reduce 5.44%,"112,200"
2007,Q1,MPGFX,sell,BGG, - Briggs & Stratton,Reduce 15.79%,"180,000"
2007,Q1,TWEBX,sell,BPOP, - Popular Inc.,Reduce 15.41%,"77,505"
2007,Q1,SEQUX,sell,BRK.A, - Berkshire Hathaway CL A,Reduce 1.21%,102
2007,Q1,fairx,buy,BRK.A, - Berkshire Hathaway CL A,Add 31.04%,"1,613"
2007,Q1,ARFFX,buy,BRK.B, - Berkshire Hathaway CL B,Add 10.62%,"3,750"
2007,Q1,SEQUX,sell,BRK.B, - Berkshire Hathaway CL B,Reduce 75.58%,"3,250"
2007,Q1,BRK,sell,BUD, - Anheuser-Busch InBev,Reduce 2.35%,"854,200"
2007,Q1,BAUPOST,buy,BUS, - Columbus Acquisition Corp.,Buy ,"750,000"
2007,Q1,SSHFX,buy,C, - Citigroup Inc.,Buy ,"143,770"
2007,Q1,hcmax,buy,C, - Citigroup Inc.,Add 5.31%,451
2007,Q1,WVALX,sell,CBS, - CBS Corp.,Sell 100.00%,"1,409,400"
2007,Q1,ARFFX,buy,CCL, - Carnival Corp.,Add 25.57%,"7,800"
2007,Q1,CAAPX,sell,CCL, - Carnival Corp.,Reduce 9.68%,"257,700"
2007,Q1,CAAPX,sell,CECO-OLD, - Career Education,Sell 100.00%,"1,331,050"
2007,Q1,MPGFX,sell,CEN-OLD, - Ceridian Corp.,Reduce 17.69%,"520,000"
2007,Q1,CAAPX,buy,CFC, - Countrywide Financial Corp.,Buy ,"1,313,400"
2007,Q1,WVALX,buy,CFC, - Countrywide Financial Corp.,Add 7.98%,"425,000"
2007,Q1,LLPFX,buy,CHK, - Chesapeake Energy,Add 24.73%,"17,703"
2007,Q1,CAAPX,buy,CLX, - Clorox Co.,Add 24.23%,"225,700"
2007,Q1,LLPFX,sell,CMCSA, - Comcast Corp.,Reduce 35.75%,"10,784,926"
2007,Q1,SSHFX,buy,CMCSA, - Comcast Corp.,Buy ,"4,276,000"
2007,Q1,WVALX,sell,CMCSA, - Comcast Corp.,Reduce 12.54%,"875,000"
2007,Q1,fairx,buy,CNQ, - Canadian Natural Resources,Add 11.85%,"2,396,600"
2007,Q1,LLPFX,buy,CX, - Cemex,Add 2.56%,"410,135"
2007,Q1,CAAPX,buy,CYN, - City National Corp.,Add 8.44%,"86,900"
2007,Q1,CAAPX,buy,CYN, - City National Corp.,Add 18.13%,"158,100"
2007,Q1,SSHFX,buy,CYT, - Cytec Industries,Buy ,"761,400"
2007,Q1,MPGFX,buy,DAKT, - Daktronics Inc.,Buy ,"70,000"
2007,Q1,hcmax,buy,DD-OLD, - Du Pont (E.I.) OLD,Add 5.26%,"5,000"
2007,Q1,ARFFX,buy,DELL-OLD, - Dell Inc.,Add 9.23%,"7,000"
2007,Q1,hcmax,buy,DHI, - D.R. Horton,Add 31.99%,"52,780"
2007,Q1,WVALX,sell,DISCA-OLD, - Discovery Inc. OLD,Sell 100.00%,"2,480,000"
2007,Q1,BRK,buy,DJ-OLD, - Dow Jones & Co.,Buy ,"2,781,800"
2007,Q1,TWEBX,sell,DTG, - Dollar Thrifty Automotive Group Inc.,Reduce 16.76%,"9,220"
2007,Q1,GLRE,buy,EIG, - Employers Holdings Inc.,Buy ,"2,625,000"
